Jacob Latz	TEX		37	0	1.478436351	1.478436351	21306
Keider Montero	DET		80.6666	0	1.474476457	1.474476457	22630
Spencer Horwitz	PIT	295		1.463839173		1.463839173	26477
Geraldo Perdomo	ARI	325		1.445704937		1.445704937	22799
Tyler Soderstrom	ATH	325		1.421815276		1.421815276	27467
Dominic Canzone	SEA	205		1.417585015		1.417585015	26438
Cade Smith	CLE		36.3333	0	1.41735518	1.41735518	27867
Matt Chapman	SFG	329		1.406633973		1.406633973	16505
Maikel Garcia	KCR	294		1.391946316		1.391946316	22715
Carson Benge	NYM	310		1.382832408		1.382832408	35177
Tarik Skubal	DET		59.6666	0	1.381906986	1.381906986	22267
Keibert Ruiz	WSN	172		1.37660861		1.37660861	19610
Isaac Paredes	HOU	314		1.374365687		1.374365687	20036
Taylor Ward	BAL	373		1.373834014		1.373834014	17548
Travis Bazzana	CLE	213		1.361389041		1.361389041	34967
Nico Hoerner	CHC	356		1.351689696		1.351689696	21479
Gage Jump	ATH		35.3333	0	1.349287152	1.349287152	35418
TJ Rumfield	COL	314		1.34365654		1.34365654	29805
Wyatt Langford	TEX	163		1.329639912		1.329639912	33333
Sean Newcomb	CHW		48	0	1.322902203	1.322902203	16943
Bryce Harper	PHI	333		1.315042138		1.315042138	11579
Trevor Larnach	MIN	236		1.299795866		1.299795866	21501
Mickey Moniak	COL	170		1.299096584		1.299096584	19956
Alex Bregman	CHC	357		1.297374606		1.297374606	17678
Trevor Megill	MIL		29	0	1.290304899	1.290304899	17722
Hunter Goodman	COL	314		1.277689099		1.277689099	29715
Sean Burke	CHW		87.3333	0	1.274397969	1.274397969	29878
Sal Stewart	CIN	343		1.264770746		1.264770746	31505
Masyn Winn	STL	297		1.243322253		1.243322253	27479
Dylan Lee	ATL		34.6666	0	1.241589308	1.241589308	19996
Michael King	SDP		92	0	1.241403699	1.241403699	19853
AndrÃ©s GimÃ©nez	TOR	271		1.239988804		1.239988804	19950
Chase Meidroth	CHW	325		1.239660382		1.239660382	31580
JJ Bleday	CIN	219		1.236889124		1.236889124	26368
Eduardo Rodriguez	ARI		95	0	1.234361172	1.234361172	13164
Grant Taylor	CHW		39.3333	0	1.233658314	1.233658314	33927
Andrew Vaughn	MIL	130		1.23162055		1.23162055	26197
Bryson Stott	PHI	281		1.229510546		1.229510546	26294
JosÃ© Soriano	LAA		95	0	1.225943327	1.225943327	22100
Cole Young	SEA	324		1.222196579		1.222196579	31680
J.T. Ginn	ATH		82.6666	0	1.218011975	1.218011975	27889
Sonny Gray	BOS		76.3333	0	1.212063551	1.212063551	12768
Emerson Hancock	SEA		85	0	1.211850643	1.211850643	27470
Sam Antonacci	CHW	243		1.211490154		1.211490154	35101
Kyle Bradish	BAL		89	0	1.209228396	1.209228396	24586
Xander Bogaerts	SDP	299		1.207718492		1.207718492	12161
Henry Bolte	ATH	138		1.198730469		1.198730469	31448
Brandon Nimmo	TEX	336		1.197308064		1.197308064	12927
Clay Holmes	NYM		52.6666	0	1.195253611	1.195253611	13649
Nick Gonzales	PIT	301		1.157371998		1.157371998	27490
Mitch Keller	PIT		88.3333	0	1.156895399	1.156895399	17594
Michael Massey	KCR	196		1.148089409		1.148089409	27684
Jacob Wilson	ATH	214		1.147121191		1.147121191	33266
Cam Smith	HOU	304		1.140409827		1.140409827	35108
Carmen Mlodzinski	PIT		70.6666	0	1.127876401	1.127876401	27572
Ryan Weathers	NYY		86.6666	0	1.125113726	1.125113726	23796
Christian Walker	HOU	333		1.118300676		1.118300676	13419
Trey Yesavage	TOR		60.6666	0	1.116158843	1.116158843	35456
Blaze Alexander	BAL	194		1.108181596		1.108181596	23789
Teoscar HernÃ¡ndez	LAD	204		1.106570363		1.106570363	13066
Carlos Correa	HOU	141		1.100959182		1.100959182	14162
Garrett Mitchell	MIL	249		1.094894648		1.094894648	27555
Jacob Young	WSN	257		1.091554523		1.091554523	29931
Isiah Kiner-Falefa	BOS	132		1.089372635		1.089372635	16512
Brandon Young	BAL		67.3333	0	1.089234352	1.089234352	27819
Ernie Clement	TOR	307		1.087936401		1.087936401	20352
Walbert UreÃ±a	LAA		67.3333	0	1.078055859	1.078055859	29357
Carter Jensen	KCR	283		1.065115809		1.065115809	29478
Jake Burger	TEX	310		1.060763001		1.060763001	22275
Bo Bichette	NYM	349		1.060677409		1.060677409	19612
Kody Clemens	MIN	266		1.057016969		1.057016969	20572
Francisco Alvarez	NYM	178		1.055731416		1.055731416	26121
Peter Lambert	HOU		68.6666	0	1.052265763	1.052265763	17969
Will Smith	LAD	201		1.050758123		1.050758123	19197
Kumar Rocker	TEX		74	0	1.050266504	1.050266504	31843
Joe Mack	MIA	128		1.045747995		1.045747995	29780
Trevor Rogers	BAL		73	0	1.045161366	1.045161366	22286
Jack Flaherty	DET		65.6666	0	1.044931531	1.044931531	17479
Andre Pallante	STL		82.6666	0	1.040865302	1.040865302	26108
Kyle Karros	COL	254		1.03364718		1.03364718	33252
Tyler Glasnow	LAD		39.6666	0	1.030577183	1.030577183	14374
Konnor Griffin	PIT	208		1.029506087		1.029506087	35376
J.P. Crawford	SEA	263		1.026375771		1.026375771	15491
JosÃ© Caballero	NYY	242		1.018608093		1.018608093	23401
Freddy Peralta	NYM		85.6666	0	1.008122206	1.008122206	18679
Mookie Betts	LAD	200		1.008073688		1.008073688	13611
Bryce Miller	SEA		40	0	1.003996968	1.003996968	29837
Jake McCarthy	COL	234		0.998412371		0.998412371	21622
Framber Valdez	DET		89.6666	0	0.981006205	0.981006205	17295
Shane Drohan	MIL		52	0	0.973575115	0.973575115	27814
Spencer Arrighetti	HOU		69	0	0.973475277	0.973475277	29921
A.J. Ewing	NYM	154		0.972449362		0.972449362	33656
Nathan Eovaldi	TEX		93.3333	0	0.963837206	0.963837206	9132
Jonny DeLuca	TBR	145		0.959142625		0.959142625	26365
Samad Taylor	SDP	66		0.959021688		0.959021688	22274
Anthony Volpe	NYY	117		0.945124507		0.945124507	27647
Brandon Woodruff	MIL		36	0	0.944675863	0.944675863	16162
Janson Junk	MIA		60	0	0.935319722	0.935319722	23301
Angel MartÃ­nez	CLE	243		0.933439016		0.933439016	26540
Nasim NuÃ±ez	WSN	262		0.931138098		0.931138098	25979
Esteury Ruiz	MIA	88		0.927857697		0.927857697	21780
Gleyber Torres	DET	190		0.926359713		0.926359713	16997
Colton Cowser	BAL	201		0.924229443		0.924229443	29591
Connor Prielipp	MIN		55.6666	0	0.922110677	0.922110677	31857
Aroldis Chapman	BOS		21.6666	0	0.913690031	0.913690031	10233
Samuel Basallo	BAL	249		0.912913263		0.912913263	28824
Evan Carter	TEX	229		0.910701096		0.910701096	27790
Ronald AcuÃ±a Jr.	ATL	236		0.910223067		0.910223067	18401
Tanner Scott	LAD		33	0	0.908420682	0.908420682	17586
Gregory Soto	PIT		32.3333	0	0.903499424	0.903499424	19677
MartÃ­n PÃ©rez	ATL		72	0	0.903167188	0.903167188	6902
Luke Weaver	NYM		33	0	0.89767468	0.89767468	16918
Ty France	SDP	176		0.896303833		0.896303833	17982
Alex Vesia	LAD		26.3333	0	0.891248226	0.891248226	25007
Michael Petersen	MIA		34	0	0.890717685	0.890717685	20827
Jake Bennett	BOS		26.6666	0	0.889663279	0.889663279	31959
Nick Pivetta	SDP		16	0	0.889353871	0.889353871	15454
Aaron Ashby	MIL		47.3333	0	0.883676708	0.883676708	23550
Nolan Arenado	ARI	288		0.883087397		0.883087397	9777
Raisel Iglesias	ATL		25.3333	0	0.880950928	0.880950928	17130
Foster Griffin	WSN		91.3333	0	0.879397511	0.879397511	16432
Antonio Senzatela	COL		42.3333	0	0.878970563	0.878970563	15488
Oswald Peraza	LAA	247		0.872316122		0.872316122	22823
Taj Bradley	MIN		76.6666	0	0.872028053	0.872028053	22543
Vladimir Guerrero Jr.	TOR	322		0.870486379		0.870486379	19611
Wade Meckler	LAA	101		0.862232506		0.862232506	31490
Andrew Abbott	CIN		84.6666	0	0.861393273	0.861393273	29911
Trent Grisham	NYY	264		0.859322608		0.859322608	18564
Brooks Lee	MIN	309		0.856095195		0.856095195	31595
Matthew Boyd	CHC		24	0	0.855598688	0.855598688	15440
Didier Fuentes	ATL		30.6666	0	0.853015423	0.853015423	30661
Brent Headrick	NYY		38	0	0.842543781	0.842543781	27702
Ryan Kreidler	MIN	100		0.837713242		0.837713242	25867
Carlos RodÃ³n	NYY		41.3333	0	0.826977074	0.826977074	16137
Andrew Alvarez	WSN		32.3333	0	0.825487077	0.825487077	29914
Luis Campusano	SDP	58		0.824830353		0.824830353	22217
Logan Henderson	MIL		23	0	0.819335401	0.819335401	31475
Daylen Lile	WSN	342		0.817182779		0.817182779	29995
Robert Suarez	ATL		32	0	0.816989243	0.816989243	30115
Luis Castillo	SEA		70.6666	0	0.816780269	0.816780269	15689
Erik Sabrowski	CLE		22	0	0.816222548	0.816222548	24978
